COSMIC_ID,TTT>G,TTT>C,TTT>A,GTT>G,GTT>C,GTT>A,CTT>G,CTT>C,CTT>A,ATT>G,ATT>C,ATT>A,ACA>A,ACA>G,ACA>T,ACC>A,ACC>G,ACC>T,ACG>A,ACG>G,ACG>T,ACT>A,ACT>G,ACT>T,TTG>G,TTG>C,TTG>A,GTG>G,GTG>C,GTG>A,CTG>G,CTG>C,CTG>A,ATG>G,ATG>C,ATG>A,CCA>A,CCA>G,CCA>T,CCC>A,CCC>G,CCC>T,CCG>A,CCG>G,CCG>T,CCT>A,CCT>G,CCT>T,TTC>G,TTC>C,TTC>A,GTC>G,GTC>C,GTC>A,CTC>G,CTC>C,CTC>A,ATC>G,ATC>C,ATC>A,GCA>A,GCA>G,GCA>T,GCC>A,GCC>G,GCC>T,GCG>A,GCG>G,GCG>T,GCT>A,GCT>G,GCT>T,TTA>G,TTA>C,TTA>A,GTA>G,GTA>C,GTA>A,CTA>G,CTA>C,CTA>A,ATA>G,ATA>C,ATA>A,TCA>A,TCA>G,TCA>T,TCC>A,TCC>G,TCC>T,TCG>A,TCG>G,TCG>T,TCT>A,TCT>G,TCT>T
688006,7,15,4,87,11,2,6,15,1,2,28,7,34,6,22,24,5,20,9,6,66,9,7,29,4,9,2,76,13,8,7,22,3,7,33,8,16,7,17,13,6,28,8,5,55,6,11,43,2,66,0,36,34,2,4,49,0,3,55,6,14,32,14,7,48,16,4,15,42,3,42,22,2,9,3,42,10,4,1,9,0,3,30,6,9,4,30,12,9,30,6,6,39,7,14,52
907295,6,9,6,83,8,5,4,14,3,1,9,3,39,3,19,22,3,12,4,1,46,16,5,22,11,4,0,92,7,2,3,20,8,8,24,6,18,6,21,14,9,21,3,3,35,9,8,28,1,71,8,32,27,4,5,50,2,0,47,4,15,37,10,15,44,12,3,13,20,7,43,16,1,10,5,37,8,3,1,13,2,0,17,4,13,7,27,6,16,35,5,4,42,4,12,62
688022,10,21,10,82,18,1,11,15,4,5,33,7,42,7,34,21,8,18,12,2,77,30,10,29,8,19,6,76,14,2,7,22,10,8,30,9,20,4,13,17,10,33,8,10,71,9,10,32,2,62,4,37,20,4,2,56,3,3,47,4,16,29,23,13,33,19,6,9,40,6,48,33,3,16,4,47,18,6,2,6,8,2,34,6,15,9,32,10,16,39,3,7,46,12,16,56
688058,3,13,1,77,11,3,5,15,3,3,16,4,22,2,21,18,4,16,5,4,52,21,4,12,3,7,3,75,10,0,2,15,6,4,20,3,14,2,16,4,9,15,2,2,55,2,5,34,2,45,3,36,21,5,3,39,3,0,41,1,4,26,10,7,39,11,2,8,27,5,29,10,0,9,2,29,6,3,1,6,3,1,18,4,8,6,14,4,1,37,0,7,30,5,5,50
905961,3,4,1,81,8,1,6,10,3,3,8,3,32,5,18,20,1,16,3,3,39,20,1,24,5,4,2,72,7,1,3,12,6,7,21,2,10,4,12,7,9,15,4,3,59,3,8,22,5,49,4,34,17,4,6,50,0,1,43,5,7,27,14,7,32,9,7,15,46,8,34,17,3,4,2,36,7,1,1,5,0,3,22,2,7,3,21,7,2,29,2,4,32,8,10,51
905936,11,47,12,91,44,0,9,32,4,4,42,11,30,8,87,21,10,43,9,8,167,16,17,46,9,37,3,74,47,3,11,60,6,3,73,8,32,4,32,33,4,48,7,4,129,48,6,56,5,83,2,34,44,4,11,48,9,4,55,8,13,27,92,17,37,87,6,9,181,12,39,97,2,37,5,37,42,4,1,36,1,1,49,11,13,4,53,8,4,55,3,6,84,15,13,63
905937,32,92,17,109,95,20,61,65,29,33,58,69,49,15,172,52,10,110,11,4,279,131,9,117,10,62,6,74,99,12,26,124,16,19,123,16,86,6,89,188,11,135,36,9,246,688,9,146,7,113,15,41,81,18,37,94,22,5,100,40,38,30,199,53,47,270,14,7,396,228,36,222,6,80,25,38,126,7,5,46,8,4,95,21,39,12,105,49,17,108,9,8,123,211,30,154
907792,2,8,3,72,7,1,8,10,4,4,16,5,41,4,21,22,2,15,7,3,53,16,11,22,3,4,1,81,4,1,4,15,3,2,18,4,16,3,17,4,8,14,4,5,47,6,9,14,3,53,3,42,21,2,2,51,2,0,37,4,18,37,16,9,40,19,6,12,38,5,33,20,5,8,4,33,7,4,1,6,1,2,12,6,13,5,15,7,3,33,6,4,28,10,12,59
907795,10,16,5,65,5,4,5,12,3,1,21,2,39,4,15,23,3,17,2,4,58,16,7,23,6,6,1,69,7,0,5,17,4,8,27,7,13,5,14,2,8,15,5,4,57,3,7,28,4,55,2,39,18,2,4,43,4,0,43,7,10,31,16,7,45,18,9,9,45,8,35,14,0,6,5,39,6,1,2,8,0,2,16,1,12,8,24,8,6,34,3,1,36,14,11,49
910689,5,7,3,70,8,3,6,17,1,0,14,2,42,8,16,18,5,14,5,2,49,9,11,14,7,10,2,88,8,2,8,16,4,4,20,1,14,3,15,11,5,24,4,6,41,7,4,31,5,61,1,35,12,2,3,43,6,4,44,4,9,27,8,5,38,10,5,11,32,6,31,18,4,8,4,36,9,2,3,9,1,2,16,3,9,2,17,3,5,43,1,2,39,10,8,49
917486,6,12,3,67,8,2,1,11,2,2,23,4,38,14,25,25,2,14,4,2,55,18,5,27,3,5,4,76,9,0,4,16,4,4,40,7,12,3,19,7,6,19,3,9,55,11,9,28,4,51,1,32,26,3,6,52,3,0,51,2,11,31,16,5,41,19,3,11,36,8,38,24,4,9,3,28,14,2,1,13,4,3,18,5,16,5,28,6,6,37,1,5,35,14,14,60
910569,6,12,4,55,14,2,6,10,4,2,17,1,42,4,25,12,6,15,8,2,61,17,9,20,4,11,0,85,15,2,6,22,5,12,25,2,14,3,21,6,11,19,5,9,66,5,4,24,3,35,2,27,20,3,0,40,3,0,33,5,6,25,8,5,43,16,3,5,49,5,29,18,5,9,2,22,13,1,0,7,1,2,18,3,6,6,20,4,7,37,7,3,40,8,9,48
909740,22,45,15,88,27,6,19,27,2,7,38,20,33,18,73,23,9,49,3,2,294,15,7,51,5,27,4,71,28,10,14,56,12,6,60,9,37,6,47,44,8,41,22,11,213,116,7,48,7,63,2,27,30,7,10,56,11,2,45,9,8,22,92,10,36,107,9,8,286,18,37,89,4,19,12,38,36,3,3,23,2,2,50,6,15,7,23,10,6,36,7,5,118,29,21,65
908458,8,8,2,58,9,0,10,11,3,2,15,4,31,3,18,28,5,12,1,2,50,9,5,21,5,5,0,64,19,4,3,11,1,2,28,3,16,9,17,8,8,22,3,6,63,5,4,22,4,45,1,23,12,3,2,44,2,1,35,5,10,25,16,5,23,14,4,10,47,4,27,21,1,10,2,18,2,4,0,5,2,1,14,3,9,6,17,10,11,34,0,2,38,7,13,46
909748,5,6,4,96,10,5,2,9,2,4,29,3,44,5,25,19,5,16,9,3,63,19,3,20,5,13,2,74,14,4,6,18,6,7,22,3,15,4,13,4,10,24,1,5,63,5,7,25,3,61,3,36,23,2,2,61,6,0,37,4,13,36,14,5,43,14,1,10,41,2,38,28,5,6,4,39,8,5,1,12,0,2,13,4,7,12,19,7,8,45,2,5,47,5,12,64
909746,6,9,6,62,9,1,9,14,2,3,12,7,34,5,23,15,5,18,1,2,61,15,2,13,3,7,3,66,6,4,3,18,4,4,16,4,17,6,17,3,9,19,2,4,66,4,6,21,6,48,2,12,16,2,2,30,3,1,18,1,10,25,12,8,28,18,4,11,34,4,28,14,6,5,5,18,1,1,0,9,0,1,14,1,7,2,21,7,4,37,3,5,28,5,13,52
907790,22,46,12,58,25,2,12,42,1,5,22,10,35,5,51,17,6,35,5,2,179,13,7,38,6,20,4,59,18,6,9,58,2,6,49,2,24,6,25,29,5,34,4,4,164,73,11,31,4,57,5,16,21,12,12,56,9,1,42,6,14,28,50,7,31,59,4,9,171,13,40,49,0,19,9,22,32,1,2,29,1,1,37,5,12,8,24,13,8,35,3,5,74,14,10,51
905939,8,10,3,48,16,4,4,17,3,3,22,3,42,7,23,19,7,28,7,5,74,19,9,25,4,13,2,53,15,3,4,17,1,6,24,4,10,5,20,7,9,23,2,5,77,7,7,26,2,47,3,13,9,2,4,43,4,1,25,4,11,27,11,7,36,28,1,7,42,4,30,16,3,14,7,21,12,2,1,12,0,0,23,5,10,4,24,12,4,41,1,5,46,11,23,50
909263,5,15,5,51,12,2,2,14,0,3,25,2,28,6,35,23,2,17,4,4,59,10,3,22,7,9,2,43,8,3,8,22,7,5,32,7,17,7,29,3,6,21,3,4,59,3,6,31,3,43,1,9,18,2,4,37,6,3,24,5,8,29,16,8,31,12,3,8,47,1,38,19,3,16,2,22,3,1,1,10,0,0,23,4,11,5,19,6,7,29,0,5,40,7,11,71
910921,0,15,3,57,9,3,3,8,2,2,27,1,39,2,21,14,2,23,4,6,50,20,2,20,5,9,0,59,10,2,5,17,4,2,23,5,23,4,22,5,6,27,3,2,56,6,5,27,2,54,1,19,14,1,3,40,6,1,27,2,4,32,7,8,31,13,4,10,34,1,39,17,3,10,2,25,0,0,3,9,4,0,20,4,13,5,22,2,7,53,4,4,38,5,7,60
