"","TTT>G","TTT>C","TTT>A","GTT>G","GTT>C","GTT>A","CTT>G","CTT>C","CTT>A","ATT>G","ATT>C","ATT>A","ACA>A","ACA>G","ACA>T","ACC>A","ACC>G","ACC>T","ACG>A","ACG>G","ACG>T","ACT>A","ACT>G","ACT>T","TTG>G","TTG>C","TTG>A","GTG>G","GTG>C","GTG>A","CTG>G","CTG>C","CTG>A","ATG>G","ATG>C","ATG>A","CCA>A","CCA>G","CCA>T","CCC>A","CCC>G","CCC>T","CCG>A","CCG>G","CCG>T","CCT>A","CCT>G","CCT>T","TTC>G","TTC>C","TTC>A","GTC>G","GTC>C","GTC>A","CTC>G","CTC>C","CTC>A","ATC>G","ATC>C","ATC>A","GCA>A","GCA>G","GCA>T","GCC>A","GCC>G","GCC>T","GCG>A","GCG>G","GCG>T","GCT>A","GCT>G","GCT>T","TTA>G","TTA>C","TTA>A","GTA>G","GTA>C","GTA>A","CTA>G","CTA>C","CTA>A","ATA>G","ATA>C","ATA>A","TCA>A","TCA>G","TCA>T","TCC>A","TCC>G","TCC>T","TCG>A","TCG>G","TCG>T","TCT>A","TCT>G","TCT>T"
"688006",4,10,3,86,7,1,4,10,0,1,18,6,30,4,13,20,3,13,8,5,42,7,5,22,2,5,1,73,8,7,5,15,1,5,22,6,13,5,9,10,3,19,6,3,29,3,8,33,1,63,0,35,32,1,3,45,0,2,51,4,11,30,8,4,46,9,2,14,24,1,40,15,1,5,2,41,6,3,0,6,0,2,21,5,7,2,24,9,6,20,5,5,24,4,10,43
"907295",3,3,5,82,3,4,2,8,2,0,0,2,35,0,8,18,1,4,3,0,19,14,2,14,8,0,0,89,2,1,1,12,6,6,11,4,15,4,13,10,5,11,1,1,7,7,5,17,0,67,7,31,24,3,3,45,1,0,43,2,12,35,3,12,42,4,1,12,0,5,41,8,0,6,4,36,4,2,0,10,1,0,7,3,11,4,21,3,13,23,4,3,25,0,7,52
"688022",7,15,9,81,13,0,9,9,3,4,23,6,38,4,23,17,6,10,11,1,50,28,7,21,5,15,5,73,9,1,5,14,8,6,17,7,17,2,5,13,6,23,6,8,43,7,7,21,1,58,3,36,17,3,0,51,2,2,43,2,13,27,16,10,31,11,4,8,20,4,46,25,2,12,3,46,14,5,1,3,7,1,24,5,13,6,26,7,13,27,2,6,29,8,11,46
"688058",0,7,0,76,6,2,3,10,2,2,7,3,17,0,12,14,3,8,4,3,27,19,1,5,1,3,2,71,5,0,0,8,4,2,8,1,11,0,8,1,5,5,1,1,29,0,2,24,0,41,2,35,19,4,2,35,2,0,37,0,1,24,4,4,37,4,0,7,6,3,27,3,0,5,1,28,2,2,0,3,2,0,9,3,6,4,8,1,0,27,0,6,14,2,0,41
"905961",0,0,0,80,3,0,4,4,2,2,0,2,28,2,7,16,0,8,2,2,12,18,0,16,2,0,1,69,2,0,1,4,4,5,8,0,7,2,4,3,5,5,2,1,31,1,5,11,4,45,3,33,14,3,4,45,0,0,39,3,4,25,7,4,30,1,5,14,26,6,32,9,2,0,1,35,3,0,0,2,0,2,12,1,5,0,15,4,0,17,1,3,15,4,5,41
"905936",8,42,11,90,40,0,7,27,3,3,32,10,26,6,78,17,8,36,8,7,143,14,15,39,7,33,2,71,42,2,9,53,4,1,62,6,29,2,24,30,1,39,5,2,103,45,3,46,4,80,1,33,42,3,10,44,8,3,51,6,10,25,86,14,35,80,4,8,163,10,37,90,1,33,4,36,38,3,0,33,0,0,40,10,11,2,47,5,1,45,2,5,69,12,9,54
"905937",29,86,16,108,90,19,59,60,28,32,49,68,44,12,163,48,9,102,10,3,254,129,6,110,8,58,5,70,94,11,24,117,14,17,111,14,83,4,81,185,7,125,35,8,220,686,6,136,5,109,14,40,79,17,36,90,21,4,96,38,35,28,193,50,45,263,12,6,375,226,34,215,5,76,24,37,122,6,4,43,7,3,86,20,37,10,99,46,14,98,8,7,107,208,25,145
"907792",0,2,1,70,2,0,6,4,3,3,5,3,37,1,10,18,0,6,6,2,24,14,8,14,0,0,0,78,0,0,2,7,1,0,5,2,13,0,8,0,4,3,2,3,16,3,6,2,2,49,2,41,18,1,1,46,0,0,32,2,15,35,9,5,38,10,4,11,17,3,30,12,4,3,2,32,3,3,1,3,0,1,1,4,11,2,8,4,0,21,5,3,10,7,7,49
"907795",7,11,4,64,1,3,3,7,2,0,11,1,35,2,6,19,1,10,1,3,34,14,5,16,4,2,0,66,2,0,3,10,2,6,16,5,10,3,6,0,5,6,3,2,31,0,4,18,3,52,1,38,16,1,3,39,3,0,39,5,7,29,10,4,43,11,7,8,27,6,33,7,0,2,4,38,2,0,1,5,0,1,7,0,10,6,18,5,3,24,2,0,21,11,7,40
"910689",2,1,1,68,3,2,4,11,0,0,3,0,38,5,5,14,3,5,4,1,20,7,8,6,4,5,1,85,3,0,6,8,2,2,7,0,11,0,6,7,1,13,2,4,10,4,1,19,4,57,0,34,9,1,2,38,4,3,39,2,6,25,1,1,36,1,3,10,11,4,28,10,3,3,2,35,5,1,3,6,0,1,5,1,7,0,10,0,1,31,0,1,21,7,3,39
"917486",3,6,1,65,3,1,0,5,1,1,12,2,34,11,14,21,0,5,3,1,26,16,2,19,0,0,3,73,4,0,2,8,2,2,27,5,9,0,10,3,2,8,1,7,24,8,6,16,3,47,0,31,23,2,5,47,1,0,46,0,8,29,9,1,39,10,1,10,15,6,35,16,3,4,1,27,10,1,1,10,3,2,7,3,14,2,21,3,2,25,0,4,17,11,9,50
"910569",3,6,3,54,9,1,4,5,3,1,8,0,37,1,16,8,5,7,7,1,36,15,6,13,2,7,0,81,10,1,4,15,3,10,13,0,11,1,13,3,7,9,4,8,40,3,1,14,1,31,1,26,18,2,0,36,2,0,29,3,3,23,2,2,41,9,1,4,28,3,27,11,4,5,1,21,9,0,0,4,0,1,9,2,4,4,14,1,4,27,6,2,24,5,4,39
"909740",19,39,14,87,22,5,17,21,1,6,28,19,29,15,62,19,7,41,2,1,267,13,4,43,2,23,3,68,23,9,12,48,10,4,47,7,34,4,39,40,4,31,20,9,185,114,4,37,6,59,1,26,27,6,8,51,10,1,41,7,5,20,85,7,34,99,7,7,266,16,35,81,3,15,11,37,32,2,2,20,1,1,40,5,13,4,17,7,3,24,6,4,101,25,16,55
"908458",5,2,0,56,4,0,8,5,2,1,4,2,27,0,7,24,3,3,0,1,21,7,2,13,2,0,0,61,14,2,1,3,0,0,15,1,13,6,8,4,4,11,1,4,32,2,1,10,3,41,0,22,9,2,1,39,0,0,30,3,7,23,9,1,21,5,2,9,26,2,24,13,0,5,0,17,0,3,0,2,1,0,3,1,7,3,10,7,7,22,0,1,20,4,8,36
"909748",2,0,3,95,5,4,0,3,1,3,19,2,40,2,14,15,3,8,8,2,36,17,0,12,2,9,1,71,9,3,4,10,4,5,9,1,12,2,5,0,6,14,0,3,35,3,4,14,2,57,2,35,20,1,0,56,5,0,33,2,10,34,7,2,41,6,0,9,21,0,36,20,4,2,3,38,4,4,0,9,0,1,3,3,5,9,13,4,5,33,1,4,30,1,7,54
"905939",5,4,2,47,11,3,2,11,2,2,12,2,38,4,12,15,5,20,6,4,47,17,6,17,1,9,1,50,10,2,2,9,0,4,11,2,7,3,12,3,5,13,0,3,49,5,4,15,1,43,2,12,6,1,2,38,3,0,21,2,8,25,4,4,34,20,0,6,22,2,28,8,2,10,6,20,8,1,0,9,0,0,13,4,8,1,18,9,1,29,0,4,29,7,18,40
"909263",2,9,4,50,7,1,0,9,0,2,16,1,23,3,26,19,1,9,3,3,34,8,0,15,5,5,1,39,3,2,6,15,5,3,20,5,14,5,21,0,2,11,2,3,33,1,3,21,1,39,0,8,16,1,3,33,5,2,20,3,5,27,10,5,29,5,1,7,26,0,36,12,2,12,1,21,0,0,0,7,0,0,14,3,9,3,13,3,4,19,0,4,24,4,6,62
"910921",0,9,1,55,4,2,1,2,1,1,16,0,35,0,10,10,0,14,3,5,21,18,0,12,2,4,0,56,5,0,3,9,2,0,10,3,20,1,13,1,2,16,1,0,25,3,2,15,1,50,0,18,11,0,2,35,4,0,22,0,1,30,0,4,29,4,2,9,13,0,36,9,2,5,0,24,0,0,3,6,3,0,9,2,11,2,15,0,3,41,3,3,20,2,2,50
"906792",6,1,4,53,9,0,4,10,2,1,11,6,41,1,12,14,2,7,4,5,24,12,0,21,2,3,0,70,2,1,3,11,0,5,17,5,10,5,35,0,4,38,2,3,24,4,3,55,3,47,1,23,11,2,3,31,0,0,27,2,5,12,4,2,32,20,5,6,20,0,44,19,0,0,4,16,1,0,1,6,1,3,9,1,7,2,46,6,4,97,0,4,42,2,7,67
"906793",2,1,3,35,7,2,0,8,1,1,0,0,25,0,4,13,1,12,3,3,14,9,0,14,1,1,0,59,0,0,2,2,1,0,0,0,10,3,14,3,1,31,0,3,19,2,1,30,1,38,0,14,9,0,0,24,2,0,18,0,3,22,3,1,26,7,2,3,10,4,19,7,3,0,2,16,2,0,1,1,0,1,0,1,4,1,25,1,0,84,1,1,24,1,3,41
"910934",7,8,1,41,9,0,4,12,3,2,15,4,23,2,11,9,2,0,0,8,41,17,1,29,2,7,0,43,4,4,5,4,4,3,28,0,20,3,4,3,7,20,1,2,50,4,9,21,4,41,1,14,10,5,4,27,5,0,26,3,7,24,11,3,28,11,4,4,29,7,31,12,1,4,1,15,6,3,0,3,0,2,13,4,8,4,15,0,4,21,2,6,23,3,9,34
"910853",2,9,4,60,9,0,5,10,1,2,8,0,38,3,32,19,2,79,1,4,33,10,2,47,1,5,0,71,7,1,5,16,6,0,26,3,17,0,24,6,4,101,0,3,19,1,2,58,0,45,1,18,21,2,2,29,0,0,24,2,16,23,18,4,36,28,1,10,16,3,48,29,1,7,3,20,7,1,1,9,2,2,10,2,13,0,24,4,6,108,2,3,22,13,7,113
