COSMIC_ID,cancer_type,ACA>A,ACA>G,ACA>T,ACC>A,ACC>G,ACC>T,ACG>A,ACG>G,ACG>T,ACT>A,ACT>G,ACT>T,ATA>A,ATA>C,ATA>G,ATC>A,ATC>C,ATC>G,ATG>A,ATG>C,ATG>G,ATT>A,ATT>C,ATT>G,CCA>A,CCA>G,CCA>T,CCC>A,CCC>G,CCC>T,CCG>A,CCG>G,CCG>T,CCT>A,CCT>G,CCT>T,CTA>A,CTA>C,CTA>G,CTC>A,CTC>C,CTC>G,CTG>A,CTG>C,CTG>G,CTT>A,CTT>C,CTT>G,GCA>A,GCA>G,GCA>T,GCC>A,GCC>G,GCC>T,GCG>A,GCG>G,GCG>T,GCT>A,GCT>G,GCT>T,GTA>A,GTA>C,GTA>G,GTC>A,GTC>C,GTC>G,GTG>A,GTG>C,GTG>G,GTT>A,GTT>C,GTT>G,TCA>A,TCA>G,TCA>T,TCC>A,TCC>G,TCC>T,TCG>A,TCG>G,TCG>T,TCT>A,TCT>G,TCT>T,TTA>A,TTA>C,TTA>G,TTC>A,TTC>C,TTC>G,TTG>A,TTG>C,TTG>G,TTT>A,TTT>C,TTT>G,MH,MS,Insertion,Other
683665,MM,0,0,8,0,0,6,1,0,0,1,0,2,0,3,1,0,3,0,2,3,0,0,2,1,1,2,1,1,0,3,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,3,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,12,23,29,11
683667,MB,1,0,1,3,0,0,2,0,0,4,0,0,0,0,0,3,2,1,1,3,0,0,0,0,4,0,0,2,0,0,1,1,0,1,0,1,0,3,0,0,6,0,3,1,1,0,0,0,8,4,0,2,3,0,3,1,2,2,10,1,0,0,5,1,2,3,0,1,11,0,0,3,3,0,0,1,1,2,2,1,0,1,0,7,0,0,1,1,4,0,0,0,0,2,0,0,11,19,48,14
684052,SARC,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,1,2,0,4,2,1,0,2,3,0,0,0,1,0,3,0,0,1,0,2,1,1,1,0,1,0,1,3,0,3,1,0,0,0,0,2,2,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,2,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,1,2,1,8,12,28,10
684055,EWING,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,3,0,0,0,0,1,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,14,25,26,12
684057,EWING,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,1,0,1,1,0,4,1,2,0,0,0,1,0,0,0,0,0,0,0,1,1,6,11,19,14
684059,EWING,3,1,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,2,0,3,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,10,17,15,10
684062,EWING,0,1,2,0,2,0,3,0,9,1,1,3,1,2,1,1,0,1,0,2,1,1,1,0,0,0,4,1,5,4,2,1,7,2,0,1,0,0,0,1,2,2,3,4,0,0,0,0,1,1,0,1,0,4,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,2,1,1,1,6,0,0,3,2,1,3,2,3,1,0,0,0,0,0,1,0,0,0,1,1,0,25,35,54,26
684072,EWING,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,1,0,0,4,11,18,11
687448,SKCM,4,1,0,2,1,5,0,0,2,5,3,0,0,0,0,2,1,1,0,1,2,0,2,2,12,0,10,1,0,18,6,1,4,3,2,20,0,0,0,1,6,2,0,0,0,0,1,0,0,0,1,0,2,4,0,0,0,2,5,0,1,2,3,0,0,1,0,2,4,1,1,2,2,4,14,0,0,46,0,3,13,1,4,21,0,5,0,1,7,1,0,1,2,3,0,1,5,22,35,14
687455,BLCA,0,0,0,0,1,3,1,0,2,0,0,1,0,0,0,1,1,1,2,1,0,1,0,0,3,0,5,0,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,3,0,0,0,2,0,2,1,0,0,1,1,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,13,20,25,9
