cancer_type,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60
BRCA,11.80967742,18.16129032,14.19354839,0,29.39677419,0.024731183,0.101075269,0.002150538,0.008602151,0.023655914,0,0,3.077419355,4.719354839,0.025806452,0,18.31397849,0.024731183,0.25483871,0.090322581,0.002150538,0,0.01827957,0.605376344,0.019354839,0.004301075,0.008602151,0.004301075,0,0.023655914,0.916129032,0,0.008602151,2.919354839,2.412903226,0.022580645,0.044086022,0.009677419,0.005376344,0,0.035483871,0,0.009677419,0,0,0,0.120430108,0,3.588172043,0.267741935,0,0.022580645,0.006451613,0.001075269,0.039784946,0.022580645,0.013978495,0,0.013978495,0,0.037634409,0.010752688,0.159139785,0.213978495,0.003225806
CESC,34.00369004,87.49077491,0.487084871,0,97.900369,46.07749077,0,0,0,0,0,0,4.04797048,2.915129151,0,0,84.29520295,0,1.704797048,0,0.014760148,0.088560886,0,0,0,0,0,0,0,0,0.239852399,0,2.911439114,0,0,0,0,0.328413284,0,0,0,0,0,0,0.693726937,0,0,0,0.852398524,0.081180812,0,0,0,0,0.014760148,0,0,0,0,0,0,0,0,0.007380074,0
COREAD,128.0383065,1.064516129,1.028225806,0,134.2258065,0,0,0,0,0,0,0.558467742,41,46.32258065,0,0,0.512096774,0,32.60080645,0,0.366935484,0.77016129,0,0,7.163306452,0,0,0,0,0,0.580645161,0,0,0,4.3125,0,0,0,0,0,0,0,0,0,35.7641129,0,0,0,59.20766129,0,0,0,0,0.054435484,0,0,0,0,0,0,0,0,0,0,0
DLBC,12.86523438,0.248046875,0,0,26.88671875,12.12890625,0.013671875,0.0234375,0.00390625,0.0234375,0,0,0.021484375,0.16796875,6.64453125,0,0.806640625,9.611328125,0.94921875,0.0703125,0,0,0,0.1015625,0.01953125,0.02734375,0,0.0703125,0,0,0.033203125,0,0,0,0.0234375,0.138671875,0,0.0390625,0,0.09765625,0.986328125,2.49609375,0,1.453125,0,0,0.26171875,0,0,1.705078125,0.130859375,0,0.04296875,0.0078125,0.015625,0,0.001953125,0.0234375,0.033203125,0,0,0.052734375,0.025390625,0.005859375,0.001953125
GBM,40.1519337,0.475138122,0,0,38.35082873,0,0.03038674,0.013812155,0,0,0,0,18.0359116,19.89226519,0,0,0.022099448,0,12.67403315,0.03038674,0,0,0,0,0,0.069060773,0,0,0,0,0,0.113259669,0,0.218232044,3.933701657,0.254143646,0,0,0,0,0,0,0,0,41.24033149,0,0.008287293,0,0,2.32320442,0,0,0,0,0,0,0,0,0.002762431,0,0,0,0,0.016574586,0
HNSC,19.43534483,24.80818966,0,14.09698276,92.48922414,0,3.620689655,7.443965517,0.267241379,0.293103448,0,0,0.021551724,0.349137931,0,0,27.44181034,0,0.096982759,0.131465517,0,0,0,0.07112069,0,3.05387931,0,0,0.068965517,0,0,0,0,0.068965517,0,0.109913793,0,0.105603448,0,0.260775862,0.066810345,0,4.939655172,1.185344828,0.36637931,0,0,0,2.864224138,9.86637931,0,0,0,0.086206897,0.058189655,0,0,0,0,0,0,0,0,0,0
KICH,20.86,0.2,0.4,0,22.26,0,0.08,0.02,0,0.06,0.46,0,0,0.28,0,0.38,0.04,0,0.5,0,0.54,0,0.38,0,0,0,0.1,0,0.14,0,0,0,0,0,0,0,0.26,0.12,0.06,0,0,0,0,0,0.74,0,0,0,0,0,1.72,0,0,0,0.16,0.12,0,0,0,0,0,0,0,0,0
KIRC,5.338323353,0.062874251,0,0,19.80239521,0,0.023952096,0.065868263,0.032934132,0.038922156,0,0,0.002994012,0.053892216,0,0.047904192,0,0.814371257,0.308383234,0,0.122754491,0.011976048,0,0.020958084,0.209580838,0.023952096,0.04491018,0.071856287,0,0.188622754,0.874251497,0,0,0.032934132,0.035928144,0.101796407,0.125748503,0,0,0,0,0,0,0.083832335,40.45808383,0,0.19760479,0,0.04491018,1.769461078,0.293413174,0,0.005988024,0.05988024,0,0.020958084,1.098802395,0,0.035928144,0,0.068862275,0,0.047904192,0.023952096,0
KIRP,1.912350598,1.788844622,1.151394422,0,55.33864542,0,0.059760956,0.007968127,0.09561753,0.055776892,0.167330677,0.521912351,0.059760956,0.03187251,0,0.25498008,1.462151394,0.179282869,0.147410359,0.051792829,0.282868526,0.039840637,0.131474104,0.06374502,0.09561753,0,0.3187251,0,0,1.023904382,0.123505976,0.03187251,0,0.087649402,0.043824701,0.179282869,0.035856574,0.023904382,0,0.147410359,0.103585657,0.103585657,0,0,4.326693227,0,0.195219124,0.015936255,0,30.54581673,0.366533865,0,0.007968127,0.976095618,0.023904382,0,0.147410359,0,0,0,0,0,0,0.011952191,0
LAML,3.129496403,0.035971223,0,0.122302158,22.14388489,0.09352518,0.043165468,0,0.007194245,0,0,0,0.043165468,0.201438849,0.007194245,0,0,0,0.201438849,0,0.021582734,0.007194245,0.258992806,0.079136691,0.223021583,0,0,0,0.079136691,0,0,12.41726619,0,0.064748201,0.021582734,0.09352518,0.194244604,0.007194245,0.028776978,0,0,0,0.057553957,0,1.417266187,0,13.60431655,0.028776978,0,0.021582734,0,0.079136691,0,0.043165468,0.021582734,0.007194245,0.09352518,0.035971223,0.014388489,0,0.014388489,0.057553957,0.028776978,0.007194245,0.007194245
