COSMIC_ID,gene,crispr_score
907053,ITK,0.390880683
907053,JAK1,0.161249985
907053,JAK3,0.19797874
907053,JAK2,-1.50861551
907053,MAP3K8,0.498420017
907053,FAS,-0.0109632
907053,MAPK7,0.771442639
907053,ALK,0.092065794
907053,MAP4K2,-0.018182461
907053,MDM2,0.289001742
907053,MDM4,0.010285903
907053,RAC1,-0.383733925
907053,MARK4,0.116497299
907053,TOP1,-1.589904622
907053,TP53,0.09747054
907053,KDR,0.25170996
907053,AKT1,0.542085132
907053,TNKS2,0.45205828
907053,SRPK1,0.065506995
907053,DHFR,-1.992889315
907053,FGFR2,0.266321144
907053,FGFR3,0.440485165
907053,AKT2,0.684108052
907053,AKT3,0.866307997
907053,PDK1,0.284882892
907053,FGFR1,0.336547993
907053,LTK,0.432408267
907053,FLT1,0.840269923
907053,FLT3,0.018434807
907053,FLT4,0.771198961
907053,FNTA,-0.870084895
907053,GSK3A,0.414947706
907053,GSK3B,-0.039657329
907053,RAC2,0.499722219
907053,RAC3,-0.560245165
907053,TOP2A,-3.202956174
907053,SRC,0.47159352
907053,PIK3CA,-0.093164956
907053,MCL1,-0.663444667
907053,WEE1,-3.546471585
907053,PIK3CB,0.123117654
907053,PIK3CD,0.009208762
907053,PIK3CG,0.197716446
907053,CHEK1,-2.742664614
907053,CHEK2,0.35152556
907053,LRRK2,0.207822203
907053,MET,0.486596594
907053,METAP2,-1.459853522
907053,PIKFYVE,0.420701133
907053,KIT,0.447891654
907053,RET,0.545866893
907053,PIM1,0.225951959
907053,PIM3,0.397926435
907053,KIF11,-2.754321056
907053,DDR1,0.342219273
907053,HDAC1,0.296620445
907053,PDGFRA,0.08026971
907053,PDGFRB,0.310403427
907053,CAPN1,0.028578888
907053,HDAC2,0.098831692
907053,HDAC3,-1.856619943
907053,PTPN6,0.589181191
907053,PLK1,-3.721986439
907053,PLK2,0.366772395
907053,PLK3,0.034979394
907053,PARP2,0.242408922
907053,PTPN11,-1.010604375
907053,PARP1,-0.172837989
907053,SGK2,0.605021072
907053,SGK3,0.721692187
907053,SYK,0.460022251
907053,ARFGAP1,0.332104893
907053,IGF1R,-0.021332845
907053,DAPK3,-0.090607605
907053,BRD2,-0.832885504
907053,BRD3,0.741967462
907053,BRAF,0.425480313
907053,BRD4,-0.848371463
907053,BRD9,0.412436546
907053,BRDT,0.246516344
907053,ACVR1C,0.841036325
907053,BRSK2,0.767334756
907053,SMO,0.451824451
907053,EZH2,0.305298018
907053,CLK4,0.107712951
907053,PAK1,0.405935798
907053,ACVR1B,0.341866067
907053,SHH,0.937766274
907053,DOT1L,0.149783396
907053,BCL2,0.281385558
907053,KRAS,0.201198552
907053,SIRT2,0.186383274
907053,SMARCA2,-0.435490865
907053,SIRT1,0.303836021
907053,USP1,-0.021625865
907053,USP47,0.343686453
907053,USP7,-1.676116478
907053,MRE11,-0.522004736
907053,LCK,0.19412435
907053,SMARCA4,-0.150533415
907053,ERBB2,-0.07481532
907053,NAMPT,-1.794537334
907053,LIMK1,-0.102934253
907053,ERBB3,0.195169495
907053,ERBB4,0.090202986
907053,ESR1,0.698146266
907053,ESR2,0.195366291
907053,BIRC5,-3.170388633
907053,AURKC,0.484170899
907053,IDH1,-0.323518773
907053,IDH2,0.37713638
907053,AURKA,-1.881862611
907053,AURKB,-3.484872573
907053,PRKCD,-0.195358099
907053,EPHB4,0.634378404
907053,CDK1,-3.344108993
907053,CDK7,-2.434115036
907053,CDK9,-2.80374221
907053,AXL,0.406995838
907053,L3MBTL3,0.254116914
907053,CDK2,-0.746924192
907053,CDK4,-0.777660545
907053,CDK5,-0.206400366
907053,CDK6,-0.619723244
907053,MTOR,-1.09022605
907053,FYN,0.505603121
907053,ATR,-1.87020336
907053,TGFB1,0.465164316
907053,NTRK1,0.167042205
907053,NTRK2,0.954406483
907053,NTRK3,1.034764016
907053,NUAK1,0.580826657
907053,NUAK2,0.189937946
907053,TEK,0.291321959
907053,TGFBR1,0.228474327
907053,RXRA,0.487271982
907053,TEC,0.212700477
907053,ATM,0.158974756
907053,CSF1R,0.174831203
907053,PPM1D,-0.177736961
907053,RIPK1,0.435590577
907053,TBK1,0.03079655
907053,PPARG,0.833341567
907053,EGFR,0.478024357
907053,EGLN1,0.510737655
907053,ROS1,0.666437313
907053,EEF2K,0.377606585
907053,PPARD,-0.139018218
907053,EDNRA,0.568403199
907053,ROCK1,-0.120350329
907053,ROCK2,0.230641768
907053,CRBN,0.790292347
907053,EIF2A,0.356297954
907054,ACVR1C,0.401674208
907054,ACVR1B,0.28540613
907054,SMARCA4,-0.061852076
907054,SMARCA2,0.088055684
907054,LIMK1,0.47257356
907054,AURKB,-3.164787298
907054,AURKC,0.526464242
907054,PAK1,-0.4328409
907054,BIRC5,-3.15982933
907054,PRKCD,0.219421189
907054,ATR,-1.717945922
907054,AURKA,-2.272903888
907054,AXL,0.280212115
907054,PARP1,0.031754789
907054,BRD4,-1.43679154
907054,CSF1R,0.248553841
907054,TGFBR1,0.251779862
907054,SMO,0.573511509
907054,BRAF,0.496007727
907054,BRD2,-0.617165582
907054,BRD3,0.257441777
907054,ATM,0.667921908
907054,IDH1,0.064289913
907054,BRD9,0.566460234
907054,LRRK2,0.411904813
907054,BRDT,0.031958718
907054,BRSK2,0.389253301
907054,IDH2,0.59840855
907054,TGFB1,0.620205424
907054,PARP2,0.51744315
907054,BCL2,0.346781464
907054,PTPN11,-1.724004947
907054,EPHB4,0.449909897
907054,PTPN6,0.604175952
907054,LCK,0.61095312
907054,TEK,0.273586837
907054,IGF1R,0.044966657
907054,ESR2,0.037076064
907054,EZH2,0.540870813
907054,ESR1,0.124916903
907054,LTK,0.473356384
907054,PPM1D,0.363289196
907054,CRBN,0.314214468
907054,L3MBTL3,0.527636722
907054,ERBB2,-0.163890267
907054,ERBB3,0.090243501
907054,ERBB4,0.464879062
907054,PPARD,0.27711524
907054,PPARG,0.401450569
907054,TEC,0.47335324
907054,MTOR,-1.22492372
907054,CDK1,-3.049216003
907054,AKT3,1.11805392
907054,RXRA,0.370989071
907054,AKT1,0.315125637
907054,AKT2,-0.062192744
907054,EGFR,0.235285249
907054,EGLN1,0.656735046
907054,PDGFRB,0.385574323
907054,ALK,0.504292359
907054,DAPK3,0.445536445
907054,ROCK1,0.172917326
907054,ROCK2,0.286236979
907054,PDGFRA,0.060444502
907054,ROS1,0.891006984
907054,DDR1,0.702642842
907054,CDK2,-1.497242631
907054,CDK4,-1.5421517
907054,CDK5,0.318216487
907054,TBK1,0.381095777
907054,EIF2A,0.422307632
907054,EDNRA,0.690064594
907054,EEF2K,0.425019683
907054,PDK1,0.686694676
907054,KRAS,-0.572088685
907054,USP1,-0.511158892
907054,NTRK1,0.241353844
907054,NTRK2,0.894526385
907054,CDK6,-2.239155585
907054,CDK7,-3.034031346
907054,NTRK3,0.521384507
907054,USP47,0.168730061
907054,CDK9,-2.612637571
907054,NUAK1,0.667102313
907054,NUAK2,-0.50286713
907054,SIRT1,0.36253794
907054,SIRT2,0.188667623
907054,NAMPT,-1.606182075
907054,ARFGAP1,0.57794169
907054,FYN,0.678300776
907054,MRE11,-0.355526486
907054,SYK,0.499367328
907054,USP7,-0.903677395
907054,SHH,0.822703197
907054,RET,0.121317783
907054,PLK1,-3.867928574
907054,PLK2,0.408872313
907054,PLK3,0.376101169
907054,RIPK1,0.877033863
907054,CLK4,0.285876615
907054,DOT1L,0.042909516
907054,PIK3CB,-0.035703198
907054,PIK3CD,0.027709014
907054,KIF11,-2.700582512
907054,PIK3CG,0.246550714
907054,PIM1,0.185496594
907054,PIM3,0.639475416
907054,KIT,0.397442544
907054,PIK3CA,-0.063325215
907054,PIKFYVE,0.279378272
907054,CAPN1,0.338308378
907054,RAC1,-0.676456641
907054,RAC2,-0.15445013
907054,HDAC1,0.244677538
907054,MET,0.374343356
907054,METAP2,-1.393309201
907054,MAPK7,0.690126952
907054,CHEK1,-2.698248389
907054,SGK2,0.565508482
907054,HDAC2,0.760397977
907054,HDAC3,-1.225078242
907054,FGFR2,0.476827537
907054,FLT1,0.365369563
907054,ITK,0.483799828
907054,CHEK2,0.583659275
907054,MAP3K8,0.630901704
907054,RAC3,0.341734028
907054,MARK4,0.580411453
907054,SGK3,0.571273926
907054,FGFR1,0.236632477
907054,FGFR3,0.625590854
907054,FLT3,0.548320434
907054,MAP4K2,0.046714882
907054,KDR,-0.006331565
907054,FLT4,0.234928281
907054,FNTA,-0.512263244
907054,FAS,0.283207742
907054,MCL1,-0.113313948
907054,MDM4,0.172359644
907054,MDM2,0.208783106
907054,TOP1,-1.495520425
907054,DHFR,-1.666089644
907054,TOP2A,-2.03620957
907054,TP53,0.181650992
907054,GSK3A,0.573644863
907054,WEE1,-3.586912073
907054,SRC,0.111478107
907054,TNKS2,0.542911714
907054,GSK3B,0.585087774
907054,SRPK1,0.265478204
907054,JAK2,-0.437550953
907054,JAK3,-0.125569511
907054,JAK1,0.14442865
1240146,USP7,-1.361218651
1240146,NAMPT,0.23828395
1240146,USP47,0.573277571
1240146,KDR,0.115316977
1240146,USP1,-0.805142996
1240146,SRC,0.466440284
1240146,DAPK3,-0.077299584
