sample_id,cancer_type,feature,bina
683665,MM,SBS1,0
683667,MB,SBS1,0
684052,SARC,SBS1,0
684055,EWING,SBS1,0
684057,EWING,SBS1,0
684059,EWING,SBS1,0
684062,EWING,SBS1,1
684072,EWING,SBS1,0
687448,SKCM,SBS1,0
687455,BLCA,SBS1,0
687457,BLCA,SBS1,0
687459,BLCA,SBS1,0
687505,CESC,SBS1,1
687506,CESC,SBS1,0
687514,CESC,SBS1,0
687562,GBM,SBS1,0
687568,GBM,SBS1,0
687586,GBM,SBS1,0
687588,GBM,SBS1,0
687590,GBM,SBS1,0
687592,GBM,SBS1,0
687596,LUSC,SBS1,0
687600,LUSC,SBS1,0
687777,LUAD,SBS1,0
687780,LUSC,SBS1,0
687787,LUSC,SBS1,0
687794,LUAD,SBS1,0
687798,LUAD,SBS1,0
687799,LUAD,SBS1,0
687800,LUAD,SBS1,0
687802,LUAD,SBS1,0
687807,LUAD,SBS1,0
687812,LUAD,SBS1,0
687815,LUSC,SBS1,0
687816,LUAD,SBS1,0
687819,LUAD,SBS1,1
687820,LUAD,SBS1,0
687821,LUAD,SBS1,0
687829,LUSC,SBS1,0
687980,SCLC,SBS1,0
687983,SCLC,SBS1,0
687985,SCLC,SBS1,0
687995,SCLC,SBS1,0
687997,SCLC,SBS1,0
688001,SCLC,SBS1,0
688007,SCLC,SBS1,0
688010,SCLC,SBS1,0
688011,SCLC,SBS1,0
688013,SCLC,SBS1,0
688014,SCLC,SBS1,0
688015,SCLC,SBS1,0
688018,SCLC,SBS1,0
688021,SCLC,SBS1,0
688022,SCLC,SBS1,0
688023,SCLC,SBS1,0
688025,SCLC,SBS1,0
688026,SCLC,SBS1,0
688027,SCLC,SBS1,0
688058,MESO,SBS1,0
688086,NB,SBS1,0
688121,SARC,SBS1,0
713869,LUAD,SBS1,0
713878,SCLC,SBS1,0
713880,SCLC,SBS1,0
713885,SCLC,SBS1,0
713899,SCLC,SBS1,0
717431,NB,SBS1,0
722045,LUAD,SBS1,0
722046,LUAD,SBS1,0
722058,LUAD,SBS1,0
722066,LUAD,SBS1,0
