"sample_id","feature","bina","cancer_type"
"687452","AHNAK_mut",0,"BLCA"
"906798","AHNAK_mut",0,"BLCA"
"906797","AHNAK_mut",0,"BLCA"
"910926","AHNAK_mut",0,"BLCA"
"1290730","AHNAK_mut",0,"BLCA"
"753552","AHNAK_mut",1,"BLCA"
"907065","AHNAK_mut",0,"BLCA"
"907066","AHNAK_mut",0,"BLCA"
"753566","AHNAK_mut",0,"BLCA"
"907312","AHNAK_mut",0,"BLCA"
"753584","AHNAK_mut",0,"BLCA"
"909704","AHNAK_mut",0,"BLCA"
"687455","AHNAK_mut",0,"BLCA"
"909749","AHNAK_mut",0,"BLCA"
"724812","AHNAK_mut",0,"BLCA"
"687459","AHNAK_mut",0,"BLCA"
"724838","AHNAK_mut",1,"BLCA"
"909780","AHNAK_mut",0,"BLCA"
"687457","AHNAK_mut",0,"BLCA"
"687452","ANK3_mut",0,"BLCA"
"906798","ANK3_mut",0,"BLCA"
"906797","ANK3_mut",0,"BLCA"
"910926","ANK3_mut",0,"BLCA"
"1290730","ANK3_mut",0,"BLCA"
"753552","ANK3_mut",0,"BLCA"
"907065","ANK3_mut",0,"BLCA"
"907066","ANK3_mut",0,"BLCA"
"753566","ANK3_mut",0,"BLCA"
"907312","ANK3_mut",0,"BLCA"
"753584","ANK3_mut",0,"BLCA"
"909704","ANK3_mut",0,"BLCA"
"687455","ANK3_mut",0,"BLCA"
"909749","ANK3_mut",1,"BLCA"
"724812","ANK3_mut",0,"BLCA"
"687459","ANK3_mut",0,"BLCA"
"724838","ANK3_mut",0,"BLCA"
"909780","ANK3_mut",0,"BLCA"
"687457","ANK3_mut",0,"BLCA"
"687452","ARID1A_mut",0,"BLCA"
"906798","ARID1A_mut",0,"BLCA"
"906797","ARID1A_mut",0,"BLCA"
"910926","ARID1A_mut",0,"BLCA"
"1290730","ARID1A_mut",0,"BLCA"
"753552","ARID1A_mut",0,"BLCA"
"907065","ARID1A_mut",1,"BLCA"
"907066","ARID1A_mut",1,"BLCA"
"753566","ARID1A_mut",0,"BLCA"
"907312","ARID1A_mut",1,"BLCA"
"753584","ARID1A_mut",0,"BLCA"
"909704","ARID1A_mut",0,"BLCA"
"687455","ARID1A_mut",0,"BLCA"
"909749","ARID1A_mut",0,"BLCA"
"724812","ARID1A_mut",0,"BLCA"
"687459","ARID1A_mut",1,"BLCA"
"724838","ARID1A_mut",0,"BLCA"
"909780","ARID1A_mut",1,"BLCA"
"687457","ARID1A_mut",0,"BLCA"
"687452","ASXL2_mut",0,"BLCA"
"906798","ASXL2_mut",0,"BLCA"
"906797","ASXL2_mut",0,"BLCA"
"910926","ASXL2_mut",0,"BLCA"
"1290730","ASXL2_mut",0,"BLCA"
"753552","ASXL2_mut",0,"BLCA"
"907065","ASXL2_mut",0,"BLCA"
"907066","ASXL2_mut",0,"BLCA"
"753566","ASXL2_mut",0,"BLCA"
"907312","ASXL2_mut",0,"BLCA"
"753584","ASXL2_mut",0,"BLCA"
"909704","ASXL2_mut",0,"BLCA"
"687455","ASXL2_mut",0,"BLCA"
"909749","ASXL2_mut",0,"BLCA"
"724812","ASXL2_mut",0,"BLCA"
"687459","ASXL2_mut",0,"BLCA"
"724838","ASXL2_mut",0,"BLCA"
"909780","ASXL2_mut",1,"BLCA"
"687457","ASXL2_mut",0,"BLCA"
"687452","BAP1_mut",0,"BLCA"
"906798","BAP1_mut",0,"BLCA"
"906797","BAP1_mut",0,"BLCA"
"910926","BAP1_mut",0,"BLCA"
"1290730","BAP1_mut",0,"BLCA"
"753552","BAP1_mut",0,"BLCA"
"907065","BAP1_mut",0,"BLCA"
"907066","BAP1_mut",0,"BLCA"
"753566","BAP1_mut",0,"BLCA"
"907312","BAP1_mut",0,"BLCA"
"753584","BAP1_mut",0,"BLCA"
"909704","BAP1_mut",0,"BLCA"
"687455","BAP1_mut",1,"BLCA"
"909749","BAP1_mut",0,"BLCA"
"724812","BAP1_mut",0,"BLCA"
"687459","BAP1_mut",0,"BLCA"
"724838","BAP1_mut",0,"BLCA"
"909780","BAP1_mut",0,"BLCA"
"687457","BAP1_mut",0,"BLCA"
"687452","CAD_mut",0,"BLCA"
"906798","CAD_mut",1,"BLCA"
"906797","CAD_mut",0,"BLCA"
"910926","CAD_mut",0,"BLCA"
"1290730","CAD_mut",0,"BLCA"
"753552","CAD_mut",0,"BLCA"
"907065","CAD_mut",0,"BLCA"
"907066","CAD_mut",0,"BLCA"
"753566","CAD_mut",0,"BLCA"
"907312","CAD_mut",0,"BLCA"
"753584","CAD_mut",0,"BLCA"
"909704","CAD_mut",0,"BLCA"
"687455","CAD_mut",0,"BLCA"
"909749","CAD_mut",0,"BLCA"
"724812","CAD_mut",1,"BLCA"
"687459","CAD_mut",0,"BLCA"
"724838","CAD_mut",0,"BLCA"
"909780","CAD_mut",0,"BLCA"
"687457","CAD_mut",0,"BLCA"
"687452","CDKN1A_mut",0,"BLCA"
"906798","CDKN1A_mut",0,"BLCA"
"906797","CDKN1A_mut",1,"BLCA"
"910926","CDKN1A_mut",0,"BLCA"
